"Time","CPU","Memory"
2021-06-22T10:16:02.892,370149242,39485440
2021-06-22T10:16:03.898,390163245,40280064
2021-06-22T10:16:04.925,396452042,40198144
2021-06-22T10:16:05.930,403009116,40239104
2021-06-22T10:16:06.935,409254655,40226816
2021-06-22T10:16:07.943,415375247,40239104
2021-06-22T10:16:08.948,421652580,40230912
2021-06-22T10:16:09.953,428255421,40230912
2021-06-22T10:16:10.958,434464246,40251392
2021-06-22T10:16:11.964,440587585,40251392
2021-06-22T10:16:12.971,447419453,40235008
2021-06-22T10:16:13.993,454913137,39817216
2021-06-22T10:16:14.999,461196285,39825408
2021-06-22T10:16:16.004,467595148,39841792
2021-06-22T10:16:17.009,473725717,39796736
2021-06-22T10:16:18.014,479930162,39804928
2021-06-22T10:16:19.019,486051342,39804928
2021-06-22T10:16:20.024,492219412,39825408
2021-06-22T10:16:21.030,498638670,39837696
2021-06-22T10:16:22.035,504838675,39841792
2021-06-22T10:16:23.040,510943303,39825408
2021-06-22T10:16:24.045,517065606,39833600
2021-06-22T10:16:25.051,523241265,39849984
2021-06-22T10:16:26.056,529369781,39866368
2021-06-22T10:16:27.061,535611387,39849984
2021-06-22T10:16:28.066,541834301,39845888
2021-06-22T10:16:29.071,547968142,39833600
2021-06-22T10:16:30.076,554214949,39849984
2021-06-22T10:16:31.082,560428508,39862272
2021-06-22T10:16:32.087,566736541,39862272
2021-06-22T10:16:33.092,572962868,39849984
2021-06-22T10:16:34.098,579360428,39858176
2021-06-22T10:16:35.103,585821346,39862272
2021-06-22T10:16:36.109,592060227,39899136
2021-06-22T10:16:37.114,598403541,39919616
2021-06-22T10:16:38.119,604764158,39915520
2021-06-22T10:16:39.124,610800897,39809024
2021-06-22T10:16:40.130,616969251,39821312
2021-06-22T10:16:41.135,623121424,39841792
2021-06-22T10:16:42.140,629282183,39817216
2021-06-22T10:16:43.145,635604503,39825408
2021-06-22T10:16:44.151,641747752,39841792
2021-06-22T10:16:45.156,648084372,39837696
2021-06-22T10:16:46.161,654293567,39837696
2021-06-22T10:16:47.166,676054864,40361984
2021-06-22T10:16:48.171,688167995,40361984
2021-06-22T10:16:49.177,706738939,40382464
2021-06-22T10:16:50.182,723546844,40382464
2021-06-22T10:16:51.187,743061100,40378368
2021-06-22T10:16:52.192,761254399,40374272
2021-06-22T10:16:53.197,777829196,40390656
2021-06-22T10:16:54.203,799557389,40374272
2021-06-22T10:16:55.209,819211420,40390656
2021-06-22T10:16:56.214,837388913,40386560
2021-06-22T10:16:57.219,857145294,40374272
2021-06-22T10:16:58.225,875227900,40394752
2021-06-22T10:16:59.230,891691852,40427520
2021-06-22T10:17:00.235,911451017,40468480
2021-06-22T10:17:01.241,932432932,40456192
2021-06-22T10:17:02.247,952501289,40448000
2021-06-22T10:17:03.256,977584715,40464384
2021-06-22T10:17:04.262,997182773,40505344
2021-06-22T10:17:05.267,1021301687,40509440
2021-06-22T10:17:06.272,1039533170,40509440
2021-06-22T10:17:07.277,1062474253,40525824
2021-06-22T10:17:08.283,1082277699,40521728
2021-06-22T10:17:09.288,1100834954,40538112
2021-06-22T10:17:10.293,1118917374,40509440
2021-06-22T10:17:11.298,1136965620,40497152
2021-06-22T10:17:12.304,1156604587,40509440
2021-06-22T10:17:13.309,1179413879,40525824
2021-06-22T10:17:14.314,1200940392,40509440
2021-06-22T10:17:15.319,1222109640,40505344
2021-06-22T10:17:16.324,1231558284,40513536
2021-06-22T10:17:17.330,1237568086,40501248
2021-06-22T10:17:18.336,1243744289,40505344
2021-06-22T10:17:19.341,1250205683,40505344
2021-06-22T10:17:20.346,1256286337,40505344
2021-06-22T10:17:21.351,1267034731,40513536
2021-06-22T10:17:22.357,1285164981,40493056
2021-06-22T10:17:23.363,1305446291,40464384
2021-06-22T10:17:24.369,1324054930,40488960
2021-06-22T10:17:25.374,1344736221,40476672
2021-06-22T10:17:26.380,1362883679,40460288
2021-06-22T10:17:27.385,1384064063,40439808
2021-06-22T10:17:28.394,1405499964,40435712
2021-06-22T10:17:29.401,1428545681,40435712
2021-06-22T10:17:30.406,1448801213,40443904
