"Time","CPU","Memory"
2021-06-22T09:36:14.223,1078981112,9080832
2021-06-22T09:36:15.228,2220302393,42184704
2021-06-22T09:36:16.233,2932759420,42168320
2021-06-22T09:36:17.238,2938553355,42172416
2021-06-22T09:36:18.243,2944187743,42180608
2021-06-22T09:36:19.248,2950081160,42196992
2021-06-22T09:36:20.253,2956177030,42233856
2021-06-22T09:36:21.258,2962228700,42221568
2021-06-22T09:36:22.262,2968408308,42225664
2021-06-22T09:36:23.267,2974332926,42225664
2021-06-22T09:36:24.272,2980288125,42233856
2021-06-22T09:36:25.277,2986252592,42225664
2021-06-22T09:36:26.283,2992132837,42242048
2021-06-22T09:36:27.287,2998592787,42352640
2021-06-22T09:36:28.292,3004387425,42291200
2021-06-22T09:36:29.297,3043264797,43028480
2021-06-22T09:36:30.304,3367142092,43499520
2021-06-22T09:36:31.310,3834910301,43765760
2021-06-22T09:36:32.315,4731245699,44138496
2021-06-22T09:36:33.322,5593263774,44482560
2021-06-22T09:36:34.327,6600799124,45113344
2021-06-22T09:36:35.337,7612399219,45404160
2021-06-22T09:36:36.342,8628882037,46039040
2021-06-22T09:36:37.348,9653317128,46653440
2021-06-22T09:36:38.354,10652282650,46940160
2021-06-22T09:36:39.361,11676541615,47300608
2021-06-22T09:36:40.367,12702571319,47828992
2021-06-22T09:36:41.372,13721769200,47984640
2021-06-22T09:36:42.379,14742875309,48472064
2021-06-22T09:36:43.385,15747576655,48963584
2021-06-22T09:36:44.393,16755229134,49373184
2021-06-22T09:36:45.398,17767144835,49913856
2021-06-22T09:36:46.404,18791790338,50446336
2021-06-22T09:36:47.409,19820721145,50999296
2021-06-22T09:36:48.415,20828073342,51400704
2021-06-22T09:36:49.421,21809741730,51712000
2021-06-22T09:36:50.426,22834116132,51957760
2021-06-22T09:36:51.432,23855895380,52248576
2021-06-22T09:36:52.437,24878481895,52707328
2021-06-22T09:36:53.443,25895459059,52928512
2021-06-22T09:36:54.448,26884406536,53088256
2021-06-22T09:36:55.477,27897949914,53256192
2021-06-22T09:36:56.483,28908409329,53202944
2021-06-22T09:36:57.488,29934977879,53469184
2021-06-22T09:36:58.494,30947327410,53776384
2021-06-22T09:36:59.500,31949743817,54001664
2021-06-22T09:37:00.506,32969022840,54370304
2021-06-22T09:37:01.511,33988299193,54730752
2021-06-22T09:37:02.534,35000956621,54800384
2021-06-22T09:37:03.542,36040018901,55144448
2021-06-22T09:37:04.549,37057582632,55386112
2021-06-22T09:37:05.554,38059210808,55734272
2021-06-22T09:37:06.560,39085206197,55980032
2021-06-22T09:37:07.565,40107024268,56217600
2021-06-22T09:37:08.571,41121555942,56254464
2021-06-22T09:37:09.576,42139963328,56369152
2021-06-22T09:37:10.594,43168770496,56700928
2021-06-22T09:37:11.600,44182379706,56782848
2021-06-22T09:37:12.605,45189388893,56815616
2021-06-22T09:37:13.611,46207606012,57020416
2021-06-22T09:37:14.617,47233534317,57229312
2021-06-22T09:37:15.628,48257421684,57421824
2021-06-22T09:37:16.633,49263551974,57319424
2021-06-22T09:37:17.639,50270831293,57200640
