"Time","CPU","Memory"
2021-06-22T09:45:07.717,98687797,4124672
2021-06-22T09:45:08.722,288509861,20955136
2021-06-22T09:45:09.727,294039944,20848640
2021-06-22T09:45:10.731,299543190,20852736
2021-06-22T09:45:11.736,305081899,20852736
2021-06-22T09:45:12.741,310794413,20860928
2021-06-22T09:45:13.746,316178043,20865024
2021-06-22T09:45:14.751,321610530,20873216
2021-06-22T09:45:15.786,327200211,20893696
2021-06-22T09:45:16.791,332682013,20889600
2021-06-22T09:45:17.796,338236407,20889600
2021-06-22T09:45:18.801,343740290,20893696
2021-06-22T09:45:19.806,349370777,20889600
2021-06-22T09:45:20.810,354672979,20893696
2021-06-22T09:45:21.816,360288119,20803584
2021-06-22T09:45:22.820,366094785,20815872
2021-06-22T09:45:23.825,371601103,20844544
2021-06-22T09:45:24.830,377295283,20848640
2021-06-22T09:45:25.835,382936275,20848640
2021-06-22T09:45:26.840,388406253,20865024
2021-06-22T09:45:27.844,394514325,20959232
2021-06-22T09:45:28.849,400879418,21090304
2021-06-22T09:45:29.854,406575225,20975616
2021-06-22T09:45:30.859,412123932,20979712
2021-06-22T09:45:31.864,417782829,20987904
2021-06-22T09:45:32.868,423398445,20992000
2021-06-22T09:45:33.873,428970687,20987904
2021-06-22T09:45:34.878,434600659,20987904
2021-06-22T09:45:35.883,440133870,20979712
2021-06-22T09:45:36.887,445642748,20992000
2021-06-22T09:45:37.892,451120829,20987904
2021-06-22T09:45:38.897,456823458,20975616
2021-06-22T09:45:39.902,463992625,21143552
2021-06-22T09:45:40.907,469621563,21139456
2021-06-22T09:45:41.911,475204624,21180416
2021-06-22T09:45:42.916,480827617,21114880
2021-06-22T09:45:43.921,486414058,21106688
2021-06-22T09:45:44.926,492107215,21102592
2021-06-22T09:45:45.931,497665295,21114880
2021-06-22T09:45:46.936,503192974,21151744
2021-06-22T09:45:47.941,508875678,21155840
2021-06-22T09:45:48.945,514399052,21139456
2021-06-22T09:45:49.951,521118040,21143552
2021-06-22T09:45:50.956,527371962,21143552
2021-06-22T09:45:51.961,532944292,21139456
2021-06-22T09:45:52.966,538604797,21143552
2021-06-22T09:45:53.971,544091646,21143552
2021-06-22T09:45:54.981,557201993,21168128
2021-06-22T09:45:55.997,562954950,21168128
2021-06-22T09:45:57.002,568676208,21168128
2021-06-22T09:45:58.006,574162978,21164032
2021-06-22T09:45:59.011,580091295,21147648
2021-06-22T09:46:00.016,586679605,21184512
2021-06-22T09:46:01.021,592126815,21188608
2021-06-22T09:46:02.026,597624071,21159936
2021-06-22T09:46:03.030,603155444,21151744
2021-06-22T09:46:04.035,608740665,21151744
2021-06-22T09:46:05.040,614406888,21135360
2021-06-22T09:46:06.045,620337194,21127168
2021-06-22T09:46:07.050,626038891,21118976
2021-06-22T09:46:08.055,631686815,21143552
2021-06-22T09:46:09.059,637380415,21143552
