"Time","CPU","Memory"
2021-06-22T09:45:08.509,373218737,38715392
2021-06-22T09:45:09.517,410607037,40275968
2021-06-22T09:45:10.612,417034445,40173568
2021-06-22T09:45:11.618,423300704,40169472
2021-06-22T09:45:12.623,429636508,40173568
2021-06-22T09:45:13.628,435735403,40181760
2021-06-22T09:45:14.633,441912782,40194048
2021-06-22T09:45:15.638,448167006,40185856
2021-06-22T09:45:16.643,454448376,40206336
2021-06-22T09:45:17.649,460617717,40202240
2021-06-22T09:45:18.658,466582235,40206336
2021-06-22T09:45:19.664,472987359,40189952
2021-06-22T09:45:20.669,478905776,40214528
2021-06-22T09:45:21.675,485070293,40198144
2021-06-22T09:45:22.681,491492652,40206336
2021-06-22T09:45:23.723,497686272,40202240
2021-06-22T09:45:24.728,503811322,40202240
2021-06-22T09:45:25.734,510114191,40206336
2021-06-22T09:45:26.739,516404050,40243200
2021-06-22T09:45:27.744,522720659,40255488
2021-06-22T09:45:28.750,529455501,40259584
2021-06-22T09:45:29.755,535571152,40259584
2021-06-22T09:45:30.760,541869066,40189952
2021-06-22T09:45:31.766,548157712,40185856
2021-06-22T09:45:32.771,554461438,40189952
2021-06-22T09:45:33.786,560603453,40210432
2021-06-22T09:45:34.792,566890408,40210432
2021-06-22T09:45:35.797,573157286,40210432
2021-06-22T09:45:36.802,579339854,40198144
2021-06-22T09:45:37.807,585598048,40214528
2021-06-22T09:45:38.813,591816028,40214528
2021-06-22T09:45:39.818,598042653,40210432
2021-06-22T09:45:40.823,604223028,40210432
2021-06-22T09:45:41.828,610348655,40226816
2021-06-22T09:45:42.834,616489748,40214528
2021-06-22T09:45:43.839,622700380,40214528
2021-06-22T09:45:44.844,628887196,40214528
2021-06-22T09:45:45.850,635124081,40218624
2021-06-22T09:45:46.855,641539943,40222720
2021-06-22T09:45:47.861,647757316,40230912
2021-06-22T09:45:48.866,654252392,40275968
2021-06-22T09:45:49.872,660372485,40267776
2021-06-22T09:45:50.877,666740356,40267776
2021-06-22T09:45:51.882,672925640,40259584
2021-06-22T09:45:52.887,679175491,40251392
2021-06-22T09:45:53.896,685436978,40263680
2021-06-22T09:45:54.902,692217474,40280064
2021-06-22T09:45:55.907,698708088,40288256
2021-06-22T09:45:56.913,704729778,40259584
2021-06-22T09:45:57.919,711551717,40259584
2021-06-22T09:45:58.925,718007848,40263680
2021-06-22T09:45:59.930,724278988,40288256
2021-06-22T09:46:00.937,730598584,40292352
2021-06-22T09:46:01.942,736790475,40308736
2021-06-22T09:46:02.947,742990759,40312832
2021-06-22T09:46:03.952,749170974,40218624
2021-06-22T09:46:04.958,755562171,40214528
2021-06-22T09:46:05.963,761973474,40230912
2021-06-22T09:46:06.968,767979191,40230912
2021-06-22T09:46:07.973,774250287,40255488
2021-06-22T09:46:08.979,780528334,40275968
2021-06-22T09:46:09.984,786752497,40251392
