"Time","CPU","Memory"
2021-06-22T09:53:14.165,189381849,17711104
2021-06-22T09:53:15.365,304782221,30240768
2021-06-22T09:53:16.467,334680058,32772096
2021-06-22T09:53:17.472,339972277,32776192
2021-06-22T09:53:18.477,345421243,32792576
2021-06-22T09:53:19.482,350793590,32813056
2021-06-22T09:53:20.487,356278617,32796672
2021-06-22T09:53:21.491,361614713,32796672
2021-06-22T09:53:22.496,367234061,32829440
2021-06-22T09:53:23.501,372597489,32821248
2021-06-22T09:53:24.506,377892837,32837632
2021-06-22T09:53:25.510,383197192,32854016
2021-06-22T09:53:26.515,388635700,32837632
2021-06-22T09:53:27.520,393931588,32837632
2021-06-22T09:53:28.525,399235647,32854016
2021-06-22T09:53:29.529,404658348,32841728
2021-06-22T09:53:30.534,410019922,32825344
2021-06-22T09:53:31.539,415411316,32825344
2021-06-22T09:53:32.543,420803898,32821248
2021-06-22T09:53:33.548,426225754,32837632
2021-06-22T09:53:34.553,431646631,32829440
2021-06-22T09:53:35.558,437303168,32825344
2021-06-22T09:53:36.563,442620450,32837632
2021-06-22T09:53:37.567,447966701,32825344
2021-06-22T09:53:38.572,453344408,32825344
2021-06-22T09:53:39.577,458730421,32821248
2021-06-22T09:53:40.582,464259158,32821248
2021-06-22T09:53:41.587,469598059,32821248
2021-06-22T09:53:42.591,474939921,32837632
2021-06-22T09:53:43.596,480260521,32837632
2021-06-22T09:53:44.601,485522558,32841728
2021-06-22T09:53:45.606,490924549,32854016
2021-06-22T09:53:46.610,496290205,32841728
2021-06-22T09:53:47.615,501649122,32821248
2021-06-22T09:53:48.620,507149389,32837632
2021-06-22T09:53:49.625,512631177,32862208
2021-06-22T09:53:50.630,520479369,32866304
2021-06-22T09:53:51.635,531138380,32899072
2021-06-22T09:53:52.640,549229152,32878592
2021-06-22T09:53:53.650,563250061,32870400
2021-06-22T09:53:54.656,582388437,32894976
2021-06-22T09:53:55.660,599659190,32886784
2021-06-22T09:53:56.666,619833016,32899072
2021-06-22T09:53:57.673,638186039,32854016
2021-06-22T09:53:58.678,657907465,32845824
2021-06-22T09:53:59.683,675930226,32874496
2021-06-22T09:54:00.688,694558818,32870400
2021-06-22T09:54:01.692,709927840,32886784
2021-06-22T09:54:02.697,726409529,32882688
2021-06-22T09:54:03.703,742909134,32923648
2021-06-22T09:54:04.711,766501703,32911360
2021-06-22T09:54:05.717,785032286,32935936
2021-06-22T09:54:06.721,801936320,32952320
2021-06-22T09:54:07.726,819598603,32968704
2021-06-22T09:54:08.732,834029107,32972800
2021-06-22T09:54:09.738,851365903,32968704
2021-06-22T09:54:10.743,868673185,32956416
2021-06-22T09:54:11.748,884024403,32960512
2021-06-22T09:54:12.753,901623063,32964608
2021-06-22T09:54:13.758,917415011,32968704
2021-06-22T09:54:14.763,933949014,32956416
2021-06-22T09:54:15.768,952754502,32964608
2021-06-22T09:54:16.773,967510479,32980992
2021-06-22T09:54:17.778,987751315,32972800
2021-06-22T09:54:18.783,1003565391,32960512
2021-06-22T09:54:19.787,1021252201,32960512
2021-06-22T09:54:20.792,1038935601,32956416
2021-06-22T09:54:21.797,1054073088,32956416
2021-06-22T09:54:22.802,1072231637,32956416
2021-06-22T09:54:23.806,1087867034,32944128
2021-06-22T09:54:24.811,1107177349,32927744
2021-06-22T09:54:25.816,1125489823,32915456
2021-06-22T09:54:26.824,1134818560,32907264
2021-06-22T09:54:27.830,1140029820,32903168
2021-06-22T09:54:28.835,1145694334,32894976
2021-06-22T09:54:29.840,1151121399,32894976
2021-06-22T09:54:30.844,1156559215,32894976
